origin,sample,label
UIC的办学性质是什么？,UIC的业务性质是什么？,1
学校现在有多少在校生？,目前有多少学生在学校就读？,1
北师港浸大的全称是什么？,北师大香港浸会大学的全称是什么？,1
简单介绍一下UIC,UIC的简要介绍,1
UIC办学定位是什么？,UIC的定位是什么？,1
UIC的专业有什么？,UIC的专业有哪些？,1
UIC的教学质量怎么保证？,UIC的教学质量是如何保证的？,1
可否转专业？,我可以改变我的专业吗？,1
怎么转专业?,如何改变我的专业？,1
依据大类专业入读的学生，将如何分流？,UIC如何根据学生的专业录取他们？,0
UIC统招本科生颁发何种毕业证书？,UIC的本科生获得什么样的毕业证书？,1
UIC颁发的香港浸会大学的学士学位证为什么有“荣誉”二字？,"为什么UIC颁发的香港浸会大学学士学位上有 ""荣誉 ""二字？",1
UIC的教育模式是怎样的？,UIC的教育模式是什么？,1
博雅教育是什么？,什么是通识教育？,0
UIC的副修课程有什么？,UIC的辅修课程有哪些？,1
工商管理学部的副修课程有什么？,工商管理系的辅修课程有哪些？,1
人文与社会科学学部的副修课程有什么？,人文与社会科学系的辅修课程有哪些？,1
理工科技学部的副修课程有什么？,科学、工程和技术系的辅修课程有哪些？,0
文化与创意学部的副修课程有什么？,文化与创意研究系的辅修课程有哪些？,1
国际化教育是什么？,什么是国际教育？,1
简要介绍一下英文教学,简要介绍一下英语教育,1
简要介绍一下国际化课程,什么是国际化的课程？,1
全人教育是什么？,什么是全人教育？,1
四维教育是什么？,什么是四维教育？,1
学校毕业生的深造就业情况如何？,学校毕业生的升学和就业情况如何？,1
苑舍的情况怎么样?,校园的情况如何？,0
学校有什么课余活动?,学校有什么样的课余活动？,1
学校对大一新生提供哪些辅导及个人成长帮助?,学校为新生提供什么样的心理辅导和个人成长帮助？,1
什么是导师关顾计划？,什么是导师关怀计划？,1
可以进行哪些出国学习？,有哪些海外学习项目？,1
本科招生热线是什么？,本科生招生热线是什么？,1
传真号码是什么？,传真号码是多少？,1
招生咨询邮箱是什么？,招生咨询的电子邮件地址是什么？,1
UIC的邮政编码是什么？,UIC的邮政编码是多少？,1
学校招生办的通讯地址是什么？,学校招生办公室的邮寄地址是什么？,1
学校官网网址是什么？,该校的网站是什么？,1
港澳台侨联招、台湾学测考生招生咨询渠道是什么？,港澳台联合招生和台湾学业考试考生的录取咨询渠道是什么？,1
国际学生本科招生在哪里咨询？,在哪里可以得到国际本科生招生的咨询？,1
授课型研究生专业咨询方式？,授课型研究生项目的咨询渠道是什么？,1
研究型硕士、博士研究生项目咨询方式？,如何咨询研究型硕士和博士项目？,1
UIC招生信息网是什么,什么是UIC的招生信息网？,1
UIC的座右铭是什么？,UIC的校训是什么？,1
UIC的数据科学课程如何？,UIC的数据科学专业怎么样？,1
如果我在UIC遇到学习问题怎么办？,在UIC学习有困难怎么办？,1
UIC的学术研究情况如何？,UIC的学术研究是怎样的？,1
UIC的招生方式是？,UIC的招生方式是什么？,1
UIC的副修课程是什么？,UIC的辅修课程有哪些？,0
UIC全人教育为学生提供了什么体验？,UIC的全人教育为学生提供了哪些体验？,1
UIC文科教育的目的？,UIC的博雅教育的目的是什么？,0
 UIC在哪些些省(市、区)招生？, UIC在哪些省（市、区）招生？,1
在全国（除广东省外）的考生，UIC的入学要求为？,UIC对全国（广东省除外）考生的录取要求是什么？,1
在全国（除广东省外）的考生，UIC的入学英语水平要求为？,UIC对全国（除广东省外）考生的英语水平有什么要求？,1
"广东省综合评价录取模式（631）是什么？
",广东省的综合评价录取模式（631）是什么？,1
广东省普通类考生的入学要求？,广东省对普通类考生的录取要求？,1
广东省综合评价录取模式报考UIC的报名资格？,综合评价录取模式在广东省录取UIC的资格？,1
广东省综合评价录取模式报考UIC的录取条件？,广东省UIC的录取要求是什么？,0
广东省综合评价录取模式报考UIC的综合成绩构成及计算方法,广东省UIC综合分的构成和计算方法是什么？,1
应届生学业水平合格性考试成绩计算例子？,应届生学业水平合格考试成绩的计算实例是什么？,1
高考改革前的往届生学业水平合格性考试成绩如何计算？,高考改革前，往届生的学业水平合格考试成绩如何计算？,1
在广东省报考UIC艺术类专业（音乐表演专业）的入学要求？,广东省UIC的艺术类专业（音乐表演专业）的录取要求是什么？,1
在福建省报考UIC艺术类专业（音乐表演专业）的入学要求？,UIC艺术类专业（音乐表演专业）在福建省的录取要求是什么？,1
在湖南省报考UIC艺术类专业（音乐表演专业）的入学要求？,UIC艺术专业（音乐表演专业）在湖南省的录取要求是什么？,1
在安徽省报考UIC艺术类专业（音乐表演专业）的入学要求？,UIC艺术专业（音乐表演专业）在安徽省的录取要求是什么？,1
在上海市报考UIC艺术类专业（音乐表演专业）的入学要求？,UIC的艺术（音乐表演）专业在上海的录取要求是什么？,1
在浙江省报考UIC艺术类专业（音乐表演专业）的入学要求？,UIC艺术项目（音乐表演）在浙江省的录取要求是什么？,1
在山东省报考UIC艺术类专业（音乐表演专业）的入学要求？,UIC艺术（音乐表演）专业在山东省的招生要求是什么？,1
贵州省考生报考工商管理类的选考科目要求？,贵州省的考生报考工商管理专业的入学条件是什么？,0
黑龙江省考生报考工商管理类的选考科目要求？,黑龙江省考生的报考条件是什么？,0
四川省考生报考工商管理类的选考科目要求？,四川省考生报考的科目要求是什么？,0
新疆考生报考工商管理类的选考科目要求？,新疆省考生的报考科目要求是什么？,0
河南省考生报考工商管理类的选考科目要求？,河南省对考生的科目要求是什么？,0
云南省考生报考工商管理类的选考科目要求？,云南省考生的科目要求是什么？,0
广西省考生报考工商管理类的选考科目要求？,广西省考生报考工商管理专业的科目要求是什么？,1
安徽省考生报考工商管理类的选考科目要求？,安徽省考生的科目要求是什么？,0
内蒙古考生报考工商管理类的选考科目要求？,内蒙古考生的科目要求是什么？,0
江西省考生报考工商管理类的选考科目要求？,江西省考生的科目要求是什么？,0
山西省古考生报考工商管理类的选考科目要求？,山西省对考生的科目要求是什么？,0
吉林省考生报考工商管理类的选考科目要求？,吉林省考生的科目要求是什么？,0
甘肃省考生报考工商管理类的选考科目要求？,甘肃省考生的科目要求是什么？,0
陕西省考生报考工商管理类的选考科目要求？,陕西省考生的科目要求是什么？,0
贵州省考生报考新闻传播类的选考科目要求？,贵州省考生报考新闻传播学的科目要求是什么？,1
黑龙江省考生报考新闻传播类的选考科目要求？,黑龙江省考生的科目要求是什么？,0
四川省考生报考新闻传播类的选考科目要求？,四川省考生的科目要求是什么？,0
新疆考生报考新闻传播类的选考科目要求？,新疆考生的科目要求是什么？,0
河南省考生报考新闻传播类的选考科目要求？,河南省对考生的科目要求是什么？,0
云南省考生报考新闻传播类的选考科目要求？,云南省对考生的科目要求是什么？,0
广西省考生报考新闻传播类的选考科目要求？,广西省对考生的科目要求是什么？,0
安徽省考生报考新闻传播类的选考科目要求？,安徽省对考生的科目要求是什么？,0
内蒙古考生报考新闻传播类的选考科目要求？,内蒙古对考生的科目要求是什么？,0
江西省考生报考新闻传播类的选考科目要求？,江西省对考生的科目要求是什么？,0
山西省考生报考新闻传播类的选考科目要求？,山西省对考生的科目要求是什么？,0
吉林省考生报考新闻传播类的选考科目要求？,吉林省对考生的科目要求是什么？,0
甘肃省考生报考新闻传播类的选考科目要求？,甘肃省对考生的科目要求是什么？,0
陕西省考生报考新闻传播类的选考科目要求？,陕西省对考生的科目要求是什么？,0
贵州省考生报考外国语言文学的选考科目要求？,贵州省考生报考外国语言文学的科目要求是什么？,1
黑龙江省考生报外国语言文学的选考科目要求？,黑龙江省考生报考外国语言文学专业需要哪些科目？,1
四川省考生报考外国语言文学的选考科目要求？,四川省考生报考外国语言文学专业的科目要求是什么？,1
新疆考生报考外国语言文学的选考科目要求？,新疆省考生报考科目要求是什么？,0
河南省考生报考外国语言文学的选考科目要求？,河南省考生报考科目要求是什么？,0
云南省考生报考外国语言文学的选考科目要求？,云南省考生的科目要求是什么？,0
广西省考生报考外国语言文学的选考科目要求？,广西省对考生的科目要求是什么？,0
安徽省考生报考外国语言文学的选考科目要求？,安徽省对考生的科目要求是什么？,0
内蒙古考生报考外国语言文学的选考科目要求？,内蒙古对考生的科目要求是什么？,0
江西省考生报考外国语言文学的选考科目要求？,江西省对考生的科目要求是什么？,0
山西省考生报考外国语言文学的选考科目要求？,山西省对考生的科目要求是什么？,0
吉林省考生报考外国语言文学的选考科目要求？,吉林省对考生的科目要求是什么？,0
甘肃省考生报考外国语言文学的选考科目要求？,甘肃省对考生的科目要求是什么？,0
陕西省考生报考外国语言文学的选考科目要求？,陕西省对考生的科目要求是什么？,0
贵州省考生报考计算机类的选考科目要求？,贵州省考生报考计算机专业的科目要求是什么？,1
黑龙江省考生报计算机类的选考科目要求？,黑龙江省考生报考计算机专业的科目要求是什么？,1
四川省考生报考计算机类的选考科目要求？,四川省考生的科目要求是什么？,0
新疆考生报考计算机类的选考科目要求？,新疆的考生报考计算机专业的科目要求是什么？,1
河南省考生报考计算机类的选考科目要求？,河南省计算机专业的科目要求是什么？,1
云南省考生报考计算机类的选考科目要求？,云南省计算机专业对考生的科目要求是什么？,1
广西省考生报考计算机类的选考科目要求？,广西省的考生报考计算机专业的科目要求是什么？,1
安徽省考生报考计算机类的选考科目要求？,安徽省计算机专业的科目要求是什么？,1
内蒙古考生报考计算机类的选考科目要求？,内蒙古的考生报考计算机专业的科目要求是什么？,1
江西省考生报考计算机类的选考科目要求？,江西省的考生报考计算机专业的科目要求是什么？,1
山西省考生报考计算机类的选考科目要求？,山西省考生报考计算机专业的科目要求是什么？,1
吉林省考生报考计算机类的选考科目要求？,吉林省考生报考计算机专业的科目要求是什么？,1
甘肃省考生报考计算机类的选考科目要求？,甘肃省的考生报考计算机专业的科目要求是什么？,1
陕西省考生报考计算机类的选考科目要求？,陕西省考生报考计算机专业的科目要求是什么？,1
贵州省考生报考会计学的选考科目要求？,贵州省考生报考会计学的科目要求有哪些？,1
黑龙江省考生报考会计学的选考科目要求？,黑龙江省的考生报考会计学需要哪些科目？,1
四川省考生报考会计学的选考科目要求？,四川省考生报考会计学需要考哪些科目？,1
新疆考生报考会计学的选考科目要求？,新疆考生报考会计学的必考科目有哪些？,0
河南省考生报考会计学的选考科目要求？,河南省考生报考会计学的科目有哪些？,1
云南省考生报考会计学的选考科目要求？,云南省考生报考会计学需要考哪些科目？,1
广西省考生报考会计学的选考科目要求？,广西省考生报考会计学需要考哪些科目？,1
安徽省考生报考会计学的选考科目要求？,安徽省考生报考会计学需要哪些科目？,1
内蒙古考生报考会计学的选考科目要求？,内蒙古考生报考会计学需要哪些科目？,1
江西省考生报考会计学的选考科目要求？,江西省考生报考会计学需要考哪些科目？,1
山西省考生报考会计学的选考科目要求？,山西省考生报考会计学需要考哪些科目？,1
吉林省考生报考会计学的选考科目要求？,吉林省考生报考会计学的必考科目有哪些？,0
甘肃省考生报考会计学的选考科目要求？,甘肃省考生报考会计学需要考哪些科目？,1
陕西省考生报考会计学的选考科目要求？,陕西省的考生报考会计学需要哪些科目？,1
贵州省考生报考经济学的选考科目要求？,贵州省报考经济学的科目要求是什么？,1
黑龙江省考生报考经济学的选考科目要求？,黑龙江省对经济学的科目要求是什么？,1
四川省考生报考经济学的选考科目要求？,四川省对经济学的科目要求是什么？,0
新疆考生报考经济学的选考科目要求？,新疆对经济学的科目要求是什么？,1
河南省考生报考经济学的选考科目要求？,河南省经济学的科目要求是什么？,1
云南省考生报考经济学的选考科目要求？,云南省对经济学的学科要求是什么？,1
广西省考生报考经济学的选考科目要求？,广西省对经济学的学科要求是什么？,1
安徽省考生报考经济学的选考科目要求？,安徽省对经济学的学科要求是什么？,1
内蒙古考生报考经济学的选考科目要求？,内蒙古对经济学的学科要求是什么？,1
江西省考生报考经济学的选考科目要求？,江西省经济学的科目要求是什么？,1
山西省考生报考经济学的选考科目要求？,山西省对经济学的学科要求是什么？,1
吉林省考生报考经济学的选考科目要求？,吉林省经济学的科目要求是什么？,1
甘肃省考生报考经济学的选考科目要求？,甘肃省经济学的科目要求是什么？,1
陕西省考生报考经济学的选考科目要求？,陕西省经济学的科目要求是什么？,1
贵州省考生报考社会学的选考科目要求？,贵州省考生的社会学科目要求是什么？,1
黑龙江省考生报考社会学的选考科目要求？,黑龙江省社会学的科目要求是什么？,1
四川省考生报考社会学的选考科目要求？,四川省社会学的科目要求是什么？,1
新疆考生报考社会学的选考科目要求？,新疆考生的社会学科目要求是什么？,1
河南省考生报考社会学的选考科目要求？,河南省社会学的科目要求是什么？,1
云南省考生报考社会学的选考科目要求？,云南省社会学的科目要求是什么？,1
广西省考生报考社会学的选考科目要求？,广西省考生报考社会学的科目要求是什么？,1
安徽省考生报考社会学的选考科目要求？,安徽省的考生报考社会学需要哪些科目？,1
内蒙古考生报考社会学的选考科目要求？,内蒙古的考生报考社会学需要哪些科目？,1
江西省考生报考社会学的选考科目要求？,江西省考生报考社会学需要考哪些科目？,1
山西省考生报考社会学的选考科目要求？,山西省考生报考社会学需要考哪些科目？,1
吉林省考生报考社会学的选考科目要求？,吉林省考生报考社会学的科目要求是什么？,1
甘肃省考生报考社会学的选考科目要求？,甘肃省考生报考社会学需要考哪些科目？,1
陕西省考生报考社会学的选考科目要求？,陕西省考生报考社会学的科目要求是什么？,1
贵州省考生报考应用心理学的选考科目要求？,贵州省考生报考应用心理学需要哪些科目？,1
黑龙江省考生报考应用心理学的选考科目要求？,黑龙江省考生报考应用心理学需要考哪些科目？,1
四川省考生报考应用心理学的选考科目要求？,四川省考生报考应用心理学的科目要求是什么？,1
新疆考生报考应用心理学的选考科目要求？,新疆考生报考应用心理学的科目要求是什么？,1
河南省考生报考应用心理学的选考科目要求？,河南省考生报考科目要求是什么？,0
云南省考生报考应用心理学的选考科目要求？,云南省对考生的科目要求是什么？,0
广西省考生报考应用心理学的选考科目要求？,广西省对考生的科目要求是什么？,0
安徽省考生报考应用心理学的选考科目要求？,安徽省对考生的科目要求是什么？,0
内蒙古考生报考应用心理学的选考科目要求？,内蒙古考生的科目要求是什么？,0
江西省考生报考应用心理学的选考科目要求？,江西省考生报考应用心理学需要哪些科目？,1
山西省考生报考应用心理学的选考科目要求？,山西省考生的科目要求是什么？,0
吉林省考生报考应用心理学的选考科目要求？,吉林省考生报考应用心理学需要哪些科目？,1
甘肃省考生报考应用心理学的选考科目要求？,甘肃省考生的报考科目要求是什么？,0
陕西省考生报考应用心理学的选考科目要求？,陕西省考生报考应用心理学需要哪些科目？,1
贵州省考生报考食品科学与工程的选考科目要求？,贵州省考生报考食品科学与工程专业需要哪些科目？,1
黑龙江省考生报考食品科学与工程的选考科目要求？,黑龙江省考生报考食品科学与工程专业需要哪些科目？,1
四川省考生报考食品科学与工程的选考科目要求？,四川省考生报考科目要求是什么？,0
新疆考生报考食品科学与工程的选考科目要求？,新疆省考生报考科目要求是什么？,0
河南省考生报考食品科学与工程的选考科目要求？,河南省考生报考科目要求是什么？,0
云南省考生报考食品科学与工程的选考科目要求？,云南省对考生的科目要求是什么？,0
广西省考生报考食品科学与工程的选考科目要求？,广西省对考生的科目要求是什么？,0
安徽省考生报考食品科学与工程的选考科目要求？,安徽省对考生的科目要求是什么？,0
内蒙古考生报考食品科学与工程的选考科目要求？,内蒙古考生报考食品科学与工程专业有哪些科目要求？,1
江西省考生报考食品科学与工程的选考科目要求？,江西省考生报考科目要求有哪些？,0
山西省考生报考食品科学与工程的选考科目要求？,山西省考生报考的科目要求是什么？,0
吉林省考生报考食品科学与工程的选考科目要求？,吉林省考生报考食品科学与工程专业需要哪些科目？,1
甘肃省考生报考食品科学与工程的选考科目要求？,甘肃省考生报考食品科学与工程专业需要哪些科目？,1
陕西省考生报考食品科学与工程的选考科目要求？,陕西省考生报考食品科学与工程专业需要哪些科目？,1
贵州省考生报考环境科学的选考科目要求？,贵州省考生报考环境科学专业需要考哪些科目？,1
黑龙江省考生报考环境科学的选考科目要求？,黑龙江省考生报考环境科学专业需要考哪些科目？,1
四川省考生报考环境科学的选考科目要求？,四川省考生报考环境科学专业需要考哪些科目？,1
新疆考生报考环境科学的选考科目要求？,新疆考生报考《环境科学》有哪些科目要求？,1
河南省考生报考环境科学的选考科目要求？,河南省考生报考环境科学需要哪些科目？,1
云南省考生报考环境科学的选考科目要求？,云南省的考生报考环境科学需要哪些科目？,1
广西省考生报考环境科学的选考科目要求？,广西省考生报考环境科学需要考哪些科目？,1
安徽省考生报考环境科学的选考科目要求？,安徽省考生报考环境科学需要考哪些科目？,1
内蒙古考生报考环境科学的选考科目要求？,内蒙古考生报考环境科学需要考哪些科目？,1
江西省考生报考环境科学的选考科目要求？,江西省考生报考环境科学需要考哪些科目？,1
山西省考生报考环境科学的选考科目要求？,山西省考生报考环境科学需要考哪些科目？,1
吉林省考生报考环境科学的选考科目要求？,吉林省考生报考环境科学需要考哪些科目？,1
甘肃省考生报考环境科学的选考科目要求？,甘肃省考生报考环境科学需要考哪些科目？,1
陕西省考生报考环境科学的选考科目要求？,陕西省考生报考环境科学需要考哪些科目？,1
贵州省考生报考统计学的选考科目要求？,贵州省考生报考统计学需要考哪些科目？,1
黑龙江省考生报考统计学的选考科目要求？,黑龙江省考生报考统计学需要考哪些科目？,1
四川省考生报考统计学的选考科目要求？,四川省考生报考统计学的科目要求是什么？,1
新疆考生报考统计学的选考科目要求？,新疆考生报考统计学的科目要求有哪些？,1
河南省考生报考统计学的选考科目要求？,河南省考生报考科目要求是什么？,0
云南省考生报考统计学的选考科目要求？,云南省考生报考统计学的科目要求是什么？,1
广西省考生报考统计学的选考科目要求？,广西省考生报考统计学的科目要求是什么？,1
安徽省考生报考统计学的选考科目要求？,安徽省考生报考统计学需要哪些科目？,1
内蒙古考生报考统计学的选考科目要求？,内蒙古的考生报考统计学的科目要求是什么？,1
江西省考生报考统计学的选考科目要求？,江西省考生报考统计学需要哪些科目？,1
山西省考生报考统计学的选考科目要求？,山西省考生报考统计学需要考哪些科目？,1
吉林省考生报考统计学的选考科目要求？,吉林省考生报考统计学的科目要求有哪些？,1
甘肃省考生报考统计学的选考科目要求？,甘肃省考生报考统计学的科目要求有哪些？,1
陕西省考生报考统计学的选考科目要求？,陕西省考生报考统计学的科目要求是什么？,1
贵州省考生报考金融数学的选考科目要求？,贵州省考生报考金融数学需要哪些科目？,1
黑龙江省考生报考金融数学的选考科目要求？,黑龙江省考生报考金融数学的科目要求是什么？,1
四川省考生报考金融数学的选考科目要求？,四川省考生报考金融数学的科目要求是什么？,1
新疆考生报考金融数学的选考科目要求？,新疆考生报考金融数学的科目要求是什么？,1
河南省考生报考金融数学的选考科目要求？,河南省考生的科目要求是什么？,0
云南省考生报考金融数学的选考科目要求？,云南省考生的科目要求是什么？,0
广西省考生报考金融数学的选考科目要求？,广西省考生报考金融数学的科目要求是什么？,1
安徽省考生报考金融数学的选考科目要求？,安徽省考生的科目要求是什么？,0
内蒙古考生报考金融数学的选考科目要求？,内蒙古考生报考金融数学的科目要求是什么？,1
江西省考生报考金融数学的选考科目要求？,江西省考生报考金融数学的科目要求是什么？,1
山西省考生报考金融数学的选考科目要求？,山西省考生的科目要求是什么？,0
吉林省考生报考金融数学的选考科目要求？,吉林省考生的科目要求是什么？,0
甘肃省考生报考金融数学的选考科目要求？,甘肃省考生的科目要求是什么？,0
陕西省考生报考金融数学的选考科目要求？,陕西省对考生的科目要求是什么？,0
贵州省考生报考数学与应用数学的选考科目要求？,贵州省考生报考数学与应用数学的科目要求是什么？,1
黑龙江省考生报考数学与应用数学的选考科目要求？,黑龙江省考生报考数学与应用数学的科目要求是什么？,1
四川省考生报考数学与应用数学的选考科目要求？,四川省考生报考数学与应用数学的科目要求是什么？,1
新疆考生报考数学与应用数学的选考科目要求？,新疆考生报考数学与应用数学的科目要求是什么？,1
河南省考生报考数学与应用数学的选考科目要求？,河南省考生报考数学与应用数学的科目要求是什么？,1
云南省考生报考数学与应用数学的选考科目要求？,云南省考生的科目要求是什么？,0
广西省考生报考数学与应用数学的选考科目要求？,广西省考生报考数学与应用数学的科目要求是什么？,1
安徽省考生报考数学与应用数学的选考科目要求？,安徽省考生报考数学与应用数学的科目要求是什么？,1
内蒙古考生报考数学与应用数学的选考科目要求？,内蒙古考生报考数学与应用数学的科目要求是什么？,1
江西省考生报考数学与应用数学的选考科目要求？,江西省考生报考数学与应用数学的科目要求是什么？,1
山西省考生报考数学与应用数学的选考科目要求？,山西省考生报考数学与应用数学的科目要求是什么？,1
吉林省考生报考数学与应用数学的选考科目要求？,吉林省考生报考数学与应用数学的科目要求是什么？,1
甘肃省考生报考数学与应用数学的选考科目要求？,甘肃省考生报考数学与应用数学的科目要求是什么？,1
陕西省考生报考数学与应用数学的选考科目要求？,陕西省考生报考数学与应用数学的科目要求是什么？,1
贵州省考生报考音乐表演的选考科目要求？,贵州省考生的音乐表演科目要求是什么？,1
黑龙江省考生报考音乐表演的选考科目要求？,黑龙江省考生音乐表演的科目要求是什么？,1
四川省考生报考音乐表演的选考科目要求？,四川省考生报考音乐表演的科目要求是什么？,1
新疆考生报考音乐表演的选考科目要求？,新疆地区对音乐表演的科目要求是什么？,1
河南省考生报考音乐表演的选考科目要求？,河南省对音乐表演的科目要求是什么？,1
云南省考生报考音乐表演的选考科目要求？,云南省考生音乐表演的科目要求是什么？,1
广西省考生报考音乐表演的选考科目要求？,广西省考生报考音乐表演专业的科目要求是什么？,1
安徽省考生报考音乐表演的选考科目要求？,安徽省考生报考音乐表演的科目要求是什么？,1
内蒙古考生报考音乐表演的选考科目要求？,内蒙古考生报考音乐表演的科目要求是什么？,1
江西省考生报考音乐表演的选考科目要求？,江西省考生报考音乐表演的科目要求是什么？,1
山西省考生报考音乐表演的选考科目要求？,山西省考生报考音乐表演的科目要求是什么？,1
吉林省考生报考音乐表演的选考科目要求？,吉林省考生报考音乐表演的科目要求是什么？,1
甘肃省考生报考音乐表演的选考科目要求？,甘肃省考生报考音乐表演的科目要求是什么？,1
陕西省考生报考音乐表演的选考科目要求？,陕西省考生报考音乐表演的科目要求有哪些？,1
贵州省考生报考人工智能的选考科目要求？,贵州省考生报考人工智能需要哪些科目？,1
黑龙江省考生报考人工智能的选考科目要求？,黑龙江省考生报考人工智能需要考哪些科目？,1
四川省考生报考人工智能的选考科目要求？,四川省考生报考科目要求是什么？,0
新疆考生报考人工智能的选考科目要求？,新疆省考生报考科目要求是什么？,0
河南省考生报考人工智能的选考科目要求？,河南省考生报考科目要求是什么？,0
云南省考生报考人工智能的选考科目要求？,云南省对考生的科目要求是什么？,0
广西省考生报考人工智能的选考科目要求？,广西省对考生的科目要求是什么？,0
安徽省考生报考人工智能的选考科目要求？,安徽省对考生的科目要求是什么？,0
内蒙古考生报考人工智能的选考科目要求？,内蒙古对考生的科目要求是什么？,0
江西省考生报考人工智能的选考科目要求？,江西省对考生的科目要求是什么？,0
山西省考生报考人工智能的选考科目要求？,山西省对考生的科目要求是什么？,0
吉林省考生报考人工智能的选考科目要求？,吉林省对考生的科目要求是什么？,0
甘肃省考生报考人工智能的选考科目要求？,甘肃省考生的科目要求是什么？,0
陕西省考生报考人工智能的选考科目要求？,陕西省考生报考人工智能的科目要求是什么？,1
北京市考生报考工商管理类的选考科目要求？,北京考生报考工商管理的科目要求是什么？,1
天津市考生报考工商管理类的选考科目要求？,天津考生的科目要求是什么？,0
上海市考生报考工商管理类的选考科目要求？,对上海考生的科目要求是什么？,0
浙江省考生报考工商管理类的选考科目要求？,浙江省考生的科目要求是什么？,0
山东省考生报考工商管理类的选考科目要求？,山东省考生的科目要求是什么？,0
海南省考生报考工商管理类的选考科目要求？,海南省考生的科目要求是什么？,0
北京市考生报考新闻传播类的选考科目要求？,北京考生的新闻与传播专业的科目要求是什么？,1
天津市考生报考新闻传播类的选考科目要求？,天津市考生报考新闻与传播专业的科目要求是什么？,1
上海市考生报考新闻传播类的选考科目要求？,上海考生的科目要求是什么？,0
浙江省考生报考新闻传播类的选考科目要求？,浙江省考生的科目要求是什么？,0
山东省考生报考新闻传播类的选考科目要求？,山东省考生的科目要求是什么？,0
海南省考生报考新闻传播类的选考科目要求？,海南省考生的科目要求是什么？,0
北京市考生报考外国语言文学的选考科目要求？,北京市考生报考外国语言文学专业的科目要求是什么？,1
天津市考生报考外国语言文学的选考科目要求？,天津市考生报考外国语言文学专业的科目要求是什么？,1
上海市考生报考外国语言文学的选考科目要求？,上海考生的科目要求是什么？,0
浙江省考生报考外国语言文学的选考科目要求？,浙江省考生的科目要求是什么？,0
山东省考生报考外国语言文学的选考科目要求？,山东省考生的科目要求是什么？,0
海南省考生报考外国语言文学的选考科目要求？,对海南省考生的科目要求是什么？,0
北京市考生报考计算机类的选考科目要求？,北京的考生对计算机专业的科目要求是什么？,1
天津市考生报考计算机类的选考科目要求？,天津市考生计算机专业的科目要求是什么？,1
